၁မည်းတော်,ခမည်းတော်
ပိဋပတ်,ပိဋကတ်
ပိုငဲရှငဲ,ပိုင်ရှင်
ပိုဝ်,ပိုင်
ပုဂ္ဂိုလဲ,ပုဂ္ဂိုလ်
ပုဒံ,ပုဒ်
ပူဆိုး,ပုဆိုး
ဖတဲ,ဖတ်
ဖတ်မံသူ,ဖိတ်မံသူ
ဖြင်သော,ဖြစ်သော
ဖြစဲ,ဖြစ်
ဖြစ်သေ့ာကြောင့်,ဖြစ်သောကြောင့်
ဖြည်ဖြည်း,ဖြည်းဖြည်း
ဖိနတ္ထ,ဇိနတ္ထ
ဖိနိပ်,ဖိနှိပ်
ဖိမ်ခံ,ဇိမ်ခံ
ဖီဝ,ဇီဝ
ဖုံးလွှမဲး,ဖုံးလွှမ်း
ဗြုဟ္မာ,ဗြဟ္မာ
ဗိမ္မိသာရ,ဗိမ္ဗိသာရ
ဗုံးကြံ,ဗုံးကြဲ
ဗုဇ္စ,ဗုဒ္ဓ
ဘဋ္ဌကထာ,အဋ္ဌကထာ
ဘတ္တဝါ,သတ္တဝါ
ဘန်ဆာ,တန်ဆာ
ဘန်းတော်,ဘုန်းတော်
ဘပ်,တပ်
ဘယ်အစါမျှ,ဘယ်အခါမျှ
ဘရှက်,အရှက်
ဘဝသီသရာ,ဘဝသံသရာ
ဘိက္ခနုပဿယ,ဘိက္ခုနုပဿယ
ဘိက္ခုံနီ,ဘိက္ခုနီ
ဘိုင်းထက်,တိုင်းထက်
ဘုန်လှပ်,တုန်လှုပ်
ဘုန်လှုပ်,တုန်လှုပ်
ဘူရား,ဘုရား
မကောင်းမူ,မကောင်းမှု
မဂ်ဖိုဏ်,မဂ်ဖိုလ်
မံငဲ့,မငဲ့
မနောဝိဉာဏ်,မနောဝိညာဏ်
မမြီ,မမြဲ
မျက်မြဖ်,မျက်မြင်
မျင်သည့်,ချင်သည့်
မ့ရဘဲ့,မရဘဲ
မြက်သော,မြတ်သော
မြခ်,မြစ်
မြတ်စှာဘုရား,မြတ်စွာဘုရား
မြဘ်,မြတ်
မဝဒနာ,ဝေဒနာ
မဟုက်,မဟုတ်
မီမိ,မိမိ
မုဈ,မုချ
မေးစွန်း,မေးခွန်း
မောင်းမဲ့,မောင်းမဲ
ယဉ်မကျး,ယဉ်ကျေး
ယျေဘုယျ,ယေဘုယျ
ယဝကာလိက,ယာဝကာလိက
ယေ၂၁,ယျော
ရည်ရွယ်ရျက်,ရည်ရွယ်ချက်
ရနဲ,ရန်
ရျို့တဲ့,ချို့တဲ့
ရလားထိန်း,ရထားထိန်း
ရွေးဘင,ရှေးဘဝ
ရဟနီး,ရဟန်း
ရဟန်းသီဃာ,ရဟန်းသံဃာ
ရှံရှာ,ရွံရှာ
ရှိစ္စာ,ရှိစွာ
ရှုတ်စျ,ရှုတ်ချ
ရှေးဘင,ရှေးဘဝ
ရာစဂြိုဟ်,ရာဇဂြိုဟ်
ရိပိသာ,ရိပ်သာ
ရုပဗေဒ,ရူပဗေဒ
ရူပီယ,ရူပိယ
ရော၌,ရော၍
ရဲဟန်း,ရဟန်း
လက်ကံသင့်,လက်ခံသင့်
လယ်ထှုန်,လယ်ထွန်
လျငဲ,လျင်
လှက်မခံ,လက်မခံ
လိစ္ဆပီ,လိစ္ဆဝီ
လိမ္ပာသူ,လိမ္မာသူ
